timestamp,delta1,delta2_5,delta5,ema,price
2025-03-12 12:42:01.730419,-12.571565810000067,-25.278115690000135,-11.70911798999947,82055.07895796644,83789.02
2025-03-12 12:41:01.712631,5.432303849999968,-42.9077909300002,-3.883296709999911,82043.30640894682,83613.745
2025-03-12 12:40:02.051868,35.17317598999995,-34.98653895000032,5.4901441000002364,82046.51817365272,83613.58
2025-03-12 12:39:01.657980,9.821884569999952,-49.18723657999999,-34.72715168999912,82054.85150698604,83743.585
2025-03-12 12:38:02.183683,21.38320896000019,-51.25937811000006,-27.997045839999032,82061.28680110369,84084.505
2025-03-12 12:37:02.204751,-7.553460489999935,-102.75006212000014,-86.81857049999928,82066.45150698605,84120.29
2025-03-12 12:36:01.704623,-17.340070309999845,-82.52159446999985,-72.43615745999904,82062.82797757428,83983.23
2025-03-12 12:35:02.363905,3.057871750000018,-60.71333500000023,-62.01933815999976,82058.94562463311,83880.02
2025-03-12 12:34:01.755337,-5.625192670000047,-83.87273296000029,-74.15028468999947,82061.06327169194,83896.595
2025-03-12 12:33:01.792357,14.776522909999898,-109.63242193000019,-63.3931685299994,82064.5456246331,83993.73
2025-03-12 12:32:02.211384,-94.68864228000008,-116.90407526000024,-90.5261021099993,82072.06327169194,84059.15
2025-03-12 12:31:03.158193,-53.088633540000245,-141.4505539900004,-121.37666340999942,82066.84758541742,84257.465
2025-03-12 12:30:01.622619,-80.99304391,-159.44537156000055,-105.74019677999948,82035.75346777037,83316.885
2025-03-12 12:29:02.294234,-54.23779487999988,-121.54569088999995,-57.034512220000124,82029.56131090762,83099.625
2025-03-12 12:28:03.020978,-88.56278893999996,-132.5057427599992,-90.27110100999937,82027.02013443703,83062.93
2025-03-12 12:27:02.367456,-62.225537159999874,-132.16887054999927,-88.97911528999958,82026.05150698604,83041.27
2025-03-12 12:26:01.583582,-45.03091118000006,-114.86303642999917,-89.1229474999999,82022.50640894684,82920.44
2025-03-12 12:25:01.591451,-32.627085579999886,-117.23342238999928,-73.92977535999938,82026.4162128684,83062.86
2025-03-12 12:24:01.564397,-93.7264219999999,-157.43005862999982,-114.74373054000006,82027.3456246331,83098.765
